Country,GDP ($ per capita),Birthrate,Deathrate,Net migration,Infant mortality (per 1000 births),Literacy (%),Phones (per 1000),Pop. Density (per sq. mi.),Industry,Service
Afghanistan ,700,46.6,20.34,23.06,163.07,36.0,3.2,48.0,0.24,0.38
Albania ,4500,15.11,5.22,-4.93,21.52,86.5,71.2,124.6,0.188,0.579
Angola ,1900,45.11,24.2,0,191.19,42.0,7.8,9.7,0.658,0.246
Anguilla ,8600,14.17,5.34,10.76,21.03,95.0,460.0,132.1,0.18,0.78
Antigua & Barbuda ,11000,16.93,5.37,-6.15,19.46,89.0,549.9,156.0,0.22,0.743
